task,horizon/model_name,config_name,use_history,use_player_identity,use_clock,C,roc_auc,log_loss,brier,accuracy,white_mae,black_mae,avg_mae,white_rmse,black_rmse,white_r2,black_r2,algorithm,params_json,feature_set
classification,white_win_before,production_logreg_C1.0,False,False,False,1.0,0.5788052102621,0.6788176241366375,0.24328029057252734,0.55255,,,,,,,,production,{},production_logreg_C1.0
classification,white_win_after_3,production_logreg_identity_C0.25,False,True,False,0.25,0.5666827018312629,0.6836653722110395,0.24550671434486115,0.54275,,,,,,,,production,{},production_logreg_identity_C0.25
classification,white_win_after_10,production_logreg_identity_clock_C0.25,False,True,True,0.25,0.6107096291871771,0.6697928511774439,0.2390763117986209,0.5718,,,,,,,,production,{},production_logreg_identity_clock_C0.25
regression,elo_after_10,production_ridge_history_identity,True,True,False,,,,,,91.05493066772924,91.96959076455315,91.51226071614118,132.212878243854,133.5409350803196,0.8709150132883308,0.8686684071336704,production,{},production_ridge_history_identity
classification,white_win_before,lightgbm_conservative_before_history,True,False,False,,0.5778478756338729,0.6794412982240129,0.2435258766674489,0.54865,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",before_history
classification,white_win_before,lightgbm_balanced_before_history,True,False,False,,0.5689970218056104,0.6838968204664159,0.24545635303137875,0.5458,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",before_history
classification,white_win_before,xgboost_conservative_before_history,True,False,False,,0.577382846526764,0.6794193002531794,0.24351583997483775,0.5466,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",before_history
classification,white_win_before,xgboost_balanced_before_history,True,False,False,,0.5702807983565867,0.6819182325343449,0.2446368146830101,0.5438,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",before_history
classification,white_win_after_3,lightgbm_conservative_after3_enhanced,False,False,False,,0.5778919429183209,0.6794417582156264,0.24350418610658126,0.54975,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",after3_enhanced
classification,white_win_after_3,lightgbm_balanced_after3_enhanced,False,False,False,,0.5668802420717489,0.6827392157529426,0.24509124392602802,0.5433,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",after3_enhanced
classification,white_win_after_3,xgboost_conservative_after3_enhanced,False,False,False,,0.5786666830808509,0.6792983277056425,0.24343969005321997,0.5504,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",after3_enhanced
classification,white_win_after_3,xgboost_balanced_after3_enhanced,False,False,False,,0.571449188925954,0.6810518631060895,0.2442779472489795,0.54605,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",after3_enhanced
classification,white_win_after_10,lightgbm_conservative_after10_enhanced_clock,False,False,True,,0.6208372192014434,0.6653518958684954,0.23687438662342364,0.57955,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",after10_enhanced_clock
classification,white_win_after_10,lightgbm_balanced_after10_enhanced_clock,False,False,True,,0.6210697662566828,0.665164114015847,0.2368887643118019,0.58075,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",after10_enhanced_clock
classification,white_win_after_10,xgboost_conservative_after10_enhanced_clock,False,False,True,,0.6202172770636429,0.6659943282000756,0.23713171058546414,0.57955,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",after10_enhanced_clock
classification,white_win_after_10,xgboost_balanced_after10_enhanced_clock,False,False,True,,0.6219379612639119,0.6641786962531969,0.23644020168033703,0.58025,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 400, ""n_jobs"": 1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",after10_enhanced_clock
regression,elo_after_10,lightgbm_conservative_elo_enhanced_history,True,False,False,,,,,,33.26359225497931,33.164496715015915,33.214044484997615,86.63102756388963,87.61647090310494,0.9445788993822057,0.9434657157222418,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 200, ""n_jobs"": 1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",elo_enhanced_history
regression,elo_after_10,lightgbm_balanced_elo_enhanced_history,True,False,False,,,,,,29.241472206302422,29.376121312688525,29.308796759495472,82.07181969562548,82.50879623560698,0.9502587906326323,0.9498650151728336,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 400, ""n_jobs"": 1, ""num_leaves"": 31, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",elo_enhanced_history
