task,horizon/model_name,config_name,use_history,use_player_identity,use_clock,C,roc_auc,log_loss,brier,accuracy,white_mae,black_mae,avg_mae,white_rmse,black_rmse,white_r2,black_r2,algorithm,params_json,feature_set
classification,white_win_before,production_logreg_C1.0,False,False,False,1.0,0.5799769509863727,0.6786117558319265,0.24309909523061368,0.55235,,,,,,,,production,{},production_logreg_C1.0
classification,white_win_after_3,production_logreg_identity_C0.25,False,True,False,0.25,0.5688683941205713,0.6825804339116613,0.24500259906532168,0.5436,,,,,,,,production,{},production_logreg_identity_C0.25
classification,white_win_after_10,production_logreg_identity_clock_C0.25,False,True,True,0.25,0.6189738262462727,0.6665417844019463,0.23746744425350588,0.5801,,,,,,,,production,{},production_logreg_identity_clock_C0.25
regression,elo_after_10,production_ridge_history_identity,True,True,False,,,,,,151.11311647290313,150.98347998787327,151.04829823038818,201.21191683844742,200.7595662596412,0.7122350079832751,0.7138721185157848,production,{},production_ridge_history_identity
classification,white_win_before,lightgbm_conservative_before_history,True,False,False,,0.5804097725545561,0.6783320331686223,0.2429933151783348,0.5467,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 50, ""n_estimators"": 300, ""n_jobs"": -1, ""num_leaves"": 20, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",before_history
classification,white_win_before,lightgbm_balanced_before_history,True,False,False,,0.567525655163922,0.6817022070952132,0.24458213062532785,0.54355,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 30, ""n_estimators"": 600, ""n_jobs"": -1, ""num_leaves"": 40, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",before_history
classification,white_win_before,xgboost_conservative_before_history,True,False,False,,0.5806556211658568,0.6779397914869038,0.24282477990342022,0.54935,,,,,,,,xgboost,"{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 20, ""n_estimators"": 300, ""n_jobs"": -1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""tree_method"": ""hist"", ""verbosity"": 0}",before_history
classification,white_win_before,xgboost_balanced_before_history,True,False,False,,0.5732783276505875,0.679818057904281,0.24369075850438604,0.5468,,,,,,,,xgboost,"{""colsample_bytree"": 0.9, ""eval_metric"": ""logloss"", ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 600, ""n_jobs"": -1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""tree_method"": ""hist"", ""verbosity"": 0}",before_history
classification,white_win_after_3,lightgbm_conservative_after3_enhanced,False,False,False,,0.5311094627528028,0.8235580056953522,0.29605084449173474,0.5207,,,,,,,,lightgbm,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_samples"": 50, ""n_estimators"": 300, ""n_jobs"": -1, ""num_leaves"": 20, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""verbose"": -1}",after3_enhanced
classification,white_win_after_3,lightgbm_balanced_after3_enhanced,False,False,False,,0.531494779758648,0.8193350952263905,0.295035181561627,0.521,,,,,,,,lightgbm,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 30, ""n_estimators"": 600, ""n_jobs"": -1, ""num_leaves"": 40, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.9, ""verbose"": -1}",after3_enhanced
